"","Indicator.Name","Series.Code","Surviveto65Female2014","Surviveto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","PopTotal2014","RuralPOP2014","Sanitation2014","CO22014","Education2014","Water2014"
"35","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",54.7297574,49.2358056,58.418,55.76,57.083,71.24243367,4.53427929,11351126,11330732,22681858,46.024,38.87281004,7003.97,6,60.24668004
"36","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",91.9529518,87.673452,83.9,79.8,81.8,5038.155427,9.96972621,17864828,17572607,35437435,18.782,99.40172004,537193.498,10,99.36540868
"37","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,60848,0,83.654025,542.716,12,96.125
"38","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",42.880879,35.1783226,51.928,48.338,50.129,18.30316205,4.85324878,2252277,2211898,4464175,60.041,25.05576373,300.694,10,46.12953432
"39","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",48.9307048,43.6833588,54.196,51.403,52.789,46.88535547,4.55046895,6845613,6817946,13663559,77.628,9.113696975,729.733,10,39.1640248
"40","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.825327,90.172906,84.304,80.113,82.252,NA,NA,83058,81042,164100,69.005,98.5,NA,NA,94.15
"41","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.9645448,82.4452662,82.191,76.669,79.504,1154.848199,7.80602661,9019140,8739819,17758959,12.697,99.25463699,82562.505,12,99.40006826
"42","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.8708532,81.7352556,77.972,73.517,75.629,361.7244399,4.77322745,663493378,700776622,1364270000,45.741,80.08229365,10291926.88,9,91.13934479
"43","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.2024832,76.8919928,79.164,73.45,76.322,459.4753247,5.80630699,23955439,23013770,46969209,20.585,86.50196763,84091.644,10,96.34635313
"44","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",66.260097,58.9378586,64.917,61.564,63.214,68.58201175,7.59488902,376437,382953,759390,71.662,34.86743107,154.014,6,80.20603489
"45","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",59.9020046,54.1071378,60.282,57.378,58.828,19.38299666,3.97941198,36993481,36773966,73767447,57.82,20.45535087,4671.758,6,41.81209134
"46","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",62.1031514,57.0565672,63.765,61.342,62.582,72.462584,2.50741981,2374829,2362145,4736974,34.915,18.33936041,3094.948,10,70.10704428
"47","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.7301268,82.3220616,81.989,76.886,79.398,829.5610887,7.80327592,2395477,2399919,4795396,24.059,96.98519347,7759.372,13,99.29519977
"48","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",50.1946962,45.2909334,56.791,54.375,55.508,79.05314337,5.04346217,11185036,11462647,22647683,50.986,29.80713259,11045.004,10,72.54595644
"49","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",90.6746644,79.0788482,80.5,74.6,77.47804878,957.6612413,7.05065058,2200161,2038228,4238389,44.077,96.46231534,16842.531,8,99.5869117
"50","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.5487778,81.8919446,80.5,76.565,78.521,855.9892766,12.14082739,5687214,5619688,11306902,23.139,91.98455215,34836.5,9,95.05771132
"51","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",88.7633904,79.4589144,81.1,75,77.97560976,NA,NA,84504,71405,155909,10.557,98.95027512,5881.868,14,99.49775185
"52","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.4902222,87.8862858,82.391,77.973,80.178,1847.553623,6.78616827,575618,576667,1152285,32.969,99.30799101,6061.551,10,99.64267564
"53","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",90.7693338,81.0633314,82,75.8,78.82439024,1512.926186,7.65308523,5354302,5171045,10525347,26.616,99.13588778,96475.103,9,99.88001589
"54","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",90.7970094,85.5559782,82.8,78.7,80.7,6380.784408,10.17190456,2837901,2805574,5643475,12.59,99.59723343,33498.045,10,100.0000022
"55","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",66.536607,59.8633678,65.021,61.516,63.171,72.04343175,4.13814365,422307,476389,898696,22.686,59.83668488,722.399,10,75.55610187
"56","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,398.3664951,5.48942884,NA,NA,71085,30.72,77.8927615,135.679,12,96.5
"57","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",80.52836,69.9841838,76.273,69.97,73.003,371.2344003,5.92203373,5073654,5091524,10165178,22.33,82.82925933,21539.958,15,95.80037029
"58","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.6273562,75.9742578,78.81,73.152,75.923,551.4692807,8.62127454,7965754,7986084,15951838,36.739,84.99544689,43919.659,15,92.35829865
"59","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",79.996711,69.826001,73.36,68.974,71.117,153.7887639,4.69173709,44727497,45697157,90424654,57.161,93.85249733,201894.019,9,98.88797584
"60","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.6794836,64.4141086,76.703,67.354,72.175,276.2230027,6.92507738,3331689,2963439,6295128,31.126,86.78163135,6285.238,15,94.84167899
"61","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",54.7320778,49.2706006,58.266,55.935,57.001,337.5628951,1.77640373,503347,618929,1122276,29.917,66.11511289,5346.486,6,63.92647586
"62","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",65.3454716,56.1599604,66.355,62.121,64.201,24.48536291,2.93162431,NA,NA,NA,NA,11.73668069,696.73,8,51.08356305
"63","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.9204,73.791462,81.9,72.4,77.03414634,1237.272333,6.20800935,700674,613871,1314545,31.731,99.1256841,19519.441,9,99.70941265
"64","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",46.3298116,29.5018354,57.322,50.263,53.569,251.9196273,7.59077143,569813,525208,1095021,76.851,57.37060718,1202.776,7,66.92127799
"65","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",68.1262782,61.2379896,66.399,62.73,64.547,22.43831346,4.03365117,49072571,49021682,98094253,81.002,6.635740949,11598.721,8,37.88149048
"66","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,84,79.5,81.69512195,NA,NA,NA,NA,47960,58.499,90.88347572,597.721,9,100
"67","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",71.9955746,61.8701578,68.715,65.473,67.03,184.7082497,3.6492555,425743,440710,866453,45.784,93.48236975,1169.773,NA,93.86181961
"68","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.4865612,84.2924418,84.1,78.4,81.1804878,4733.465625,9.48001145,2774944,2686568,5461512,14.825,99.44787828,47300.633,9,100
"69","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.2143958,84.2492834,86,79.5,82.67073171,5010.095094,11.59500673,34180197,32135903,66316100,20.606,98.6523832,303275.568,10,99.99999848
"70","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.2764162,79.6899744,78.909,74.41,76.546,NA,NA,133558,138147,271705,38.367,96.85461383,803.073,NA,100
"71","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",67.1830702,60.6498872,65.991,62.665,64.318,245.485328,2.53282252,925129,958671,1883800,12.349,47.14564631,5192.472,10,85.00293382
"72","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",62.3440324,55.4495998,62.017,59.377,60.667,23.02137821,5.29871994,1019945,1004097,2024042,41.472,39.94832567,513.38,9,77.43330193
"73","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.1470032,65.9397228,77.16,68.228,72.707,348.8296876,8.43567753,1943635,1775779,3719414,42.933,90.73375911,8987.817,9,97.64145205
"74","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",91.7537678,84.8316136,83.6,78.7,81.0902439,5278.221878,10.95738405,41187119,39795381,80982500,22.81,99.22482336,719883.438,13,100
"75","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",64.1936532,58.8659872,63.366,61.474,62.416,81.51717279,5.62315273,13439242,13785230,27224472,46.581,16.49284438,14466.315,11,78.40561613
"76","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,33725,0,100,528.048,10,100
"77","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.1031518,84.7632074,84.1,78.8,81.38536585,1724.547685,7.94998091,5545785,5346628,10892413,22.298,98.97230135,67318.786,10,99.99999567
"78","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,73.81,69.375,71.53841463,NA,NA,NA,NA,56295,14.187,99.59723691,506.046,10,99.99999915
"79","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",81.3699408,72.1172166,75.08,70.176,72.503,445.5585044,5.19918435,53940,54962,108902,64.062,91.49389213,242.022,12,95.62865044
"80","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.1458864,84.3476448,82.313,75.784,78.895,NA,NA,79455,81561,161016,5.551,90.35076551,NA,NA,99.6952
"81","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",81.0299302,70.164757,76.001,69.804,72.935,218.9659611,5.93765761,8092582,7830661,15923243,50.366,64.9253695,18327.666,16,92.77225563
"82","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",58.6778646,55.1525242,59.417,58.423,59.016,35.60308986,4.78097692,5818612,5332365,11150977,65.164,20.23514909,2449.556,6,62.48019985
"83","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",54.6396956,44.9846044,58.686,54.299,56.556,41.43014495,6.78661808,869097,823342,1692439,58.285,19.22989148,271.358,9,64.92368844
"84","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",73.2430004,60.74894,72.413,65.893,69.049,207.2130599,5.14073899,382400,380980,763380,73.586,84.93294177,2009.516,6,94.73885546
"85","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",65.1651332,57.4190916,64.201,59.947,62.069,63.88166505,7.79763646,5342002,5207006,10549008,48.556,31.41232387,2860.26,6,64.10223761
"86","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",81.3791974,74.2634834,76.628,71.919,74.278,179.1514841,7.98815341,4485200,4470389,8955589,45.486,78.21505201,9471.861,12,93.18097725
"87","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",94.2773656,89.114751,86.9,81.2,83.9804878,NA,NA,3867733,3361767,7229500,0,96.51428571,46222.535,9,99.98517998
"88","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.2984264,71.4282192,79.4,72.3,75.76341463,1006.156658,7.09271229,5179290,4687178,9866468,29.773,97.99767661,42086.159,11,99.97024956
"89","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.2591282,90.1998648,84.5,81.3,82.86097561,4514.532908,8.49658835,163018,164368,327386,6.333,98.78354832,1983.847,10,100.0000029
"90","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",73.0035028,66.8726576,69.491,67.167,68.286,57.15113738,3.61956552,621854638,673749546,1295604184,67.616,51.75458629,2238377.137,8,90.22395259
"91","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",78.0661422,69.976671,72.698,68.371,70.481,108.8372707,3.11712106,126619172,128509832,255129004,47.365,67.49929746,464176.194,9,87.25105823
"92","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",88.240626,83.7082744,76.645,74.435,75.502,382.7058941,6.91351093,38281558,39184195,77465753,27.17,88.21919907,649480.705,9,95.11355838
"93","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",77.7912688,68.6848184,71.847,67.581,69.7,187.0112102,2.78990095,17018737,17393214,34411951,30.242,89.06535184,168443.645,6,93.75628933
"94","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",91.7998024,87.625919,83.5,79.3,81.34878049,5390.544576,9.68642084,2352024,2305716,4657740,37.66,90.94756742,34066.43,10,97.3605989
"95","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,83488,47.838,NA,NA,NA,99.075
"96","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.1747222,88.5054834,84.1,80.3,82.15365854,2800.501777,7.21097172,4145229,4070471,8215700,7.896,99.99999769,64601.539,13,99.99999769
"97","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.6675578,89.0462048,85.6,80.7,83.0902439,3190.088143,9.01144092,31315785,29473355,60789140,30.728,98.77079907,320411.459,12,99.44201437
"98","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.6908178,73.9290046,75.621,72.531,74.042,254.0866436,5.23264313,1445930,1429206,2875136,45.416,86.56535987,7422.008,6,90.31851776
"99","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",94.0328638,88.333888,86.83,80.5,83.58780488,4099.46508,10.83205006,65075452,62200548,127276000,8.696,99.91783683,1214048.358,9,98.88958333
"100","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.1185958,78.0162812,75.697,72.346,73.969,301.537718,7.41439635,4398603,4521446,8920049,10,97.62122561,26450.071,10,99.03842039
"101","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",81.8963302,61.2005144,75.94,67.12,71.62,347.6559719,2.74584606,8920772,8367513,17288285,42.882,97.66969774,248314.572,9,93.88235801
"102","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",66.8725106,57.2942176,66.415,61.822,64.135,70.80068596,5.30316541,23504442,23195539,46699981,74.779,29.80063473,14286.632,12,56.99040412
"103","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",73.5547558,60.8770394,71.094,62.914,66.995,161.3866057,9.98787879,55649,53742,109391,49.227,44.10756583,62.339,9,67.80625957
"104","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",81.3736608,69.1369792,74.549,67.563,71.198,NA,NA,12806595,12251157,25057752,38.902,80.93017906,40527.684,11,95.5706764
"105","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",94.310178,86.317433,85,78.6,81.72195122,1910.438714,6.82039351,25318368,25428291,50746659,18.293,100,587156.373,9,99.45089653
"106","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,73.3,69,71.09756098,NA,NA,NA,NA,1821800,NA,NA,NA,NA,NA
"107","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.2187488,85.8915334,76.063,74.281,75.019,1375.003395,3.19758021,1534202,2156740,3690942,0,100,95408.006,9,100
"108","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.2169006,64.9518414,74.5,66.5,70.40243902,107.5061505,8.31271203,2948851,2886649,5835500,64.365,96.55655119,9607.54,10,86.73149276
"109","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",71.324567,63.6979294,67.929,64.351,66.144,46.37335713,2.29845549,3315121,3324635,6639756,67.513,66.82845018,1954.511,5,76.02923347
"110","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",85.6479192,65.7575552,79.4,69.1,74.12439024,855.6263899,5.46515399,1080377,913405,1993782,32.048,91.05317564,6974.634,11,98.47195819
"111","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",90.4666738,85.9429898,80.699,76.937,78.732,680.0324562,7.96600388,3107123,3155287,6262410,12.053,93.79788782,24070.188,10,91.80060625
"112","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",39.6996854,25.7527952,53.094,46.878,49.891,108.4617426,8.62813108,1040994,1002443,2043437,73.498,37.31715637,2467.891,7,68.37270204
"113","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",63.8190104,58.109906,63.181,60.279,61.723,63.81318203,8.91179706,2173341,2186164,4359505,50.603,16.53999341,935.085,6,71.42842762
"114","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.9774132,70.3784996,75.161,69.105,71.981,NA,NA,3137852,3224185,6362037,20.991,99.7,56996.181,9,96.75
"115","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,83.2,81,82.07317073,NA,NA,NA,NA,37223,85.687,99.95,44.004,9,100
"116","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.6328172,64.313782,80.1,69.2,74.51707317,1021.222566,6.1954704,1582988,1349379,2932367,32.892,91.7234496,12838.167,10,96.13359839
"117","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.2240392,86.831117,85.2,79.4,82.22926829,7757.088555,6.4285974,277680,278639,556319,10.116,97.61613895,9658.878,12,99.9446015
"118","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",95.7325558,89.8247346,86.461,80.55,83.543,NA,NA,307019,283189,590208,0,NA,1283.45,10,100
"119","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",68.8466422,61.86432,66.664,63.613,65.133,22.99713268,5.08265223,11831207,11758680,23589887,65.466,9.362558686,3076.613,5,50.7779933
"120","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",63.3285154,49.575037,64.065,58.035,61.042,34.41162976,9.71204623,8266061,8023479,16289540,83.868,25.26087716,1276.116,8,66.06405914
"121","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.0591754,75.8525468,77.48,73.317,75.268,421.9693889,3.77302208,14480856,15385703,29866559,26.423,99.54990829,242821.406,6,96.78783326
"122","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",90.1063928,85.4213954,79.101,76.016,77.36,716.1892537,7.90784106,180345,254670,435015,61.894,97.64329956,1334.788,NA,98.74900429
"123","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",56.5803784,53.6570786,57.7,56.364,57.036,38.01019679,4.48112201,8468389,8465831,16934220,60.804,34.64501672,1411.795,9,73.19910174
"124","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.2258432,88.9307488,84.3,79.9,82.04634146,2463.715527,9.41760996,217382,217176,434558,5.653,99.96463864,2346.88,11,100.0000018
"125","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,650.0903248,18.79151803,NA,NA,57179,24.616,82.70520108,102.676,9,85.16592593
"126","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",67.9383948,61.04659,65.328,61.935,63.654,55.47625522,4.20351497,1962066,1968830,3930896,49.797,41.1419708,2709.913,9,65.11945597
"127","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.3660044,71.2392532,77.58,70.97,74.19439024,559.5051151,5.57696903,636163,624771,1260934,58.889,95.506954,4228.051,11,99.86658686
"128","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.0361824,73.041532,77.86,71.943,74.908,585.8949875,5.53723009,61491298,58863830,120355128,21.007,88.52427575,480270.657,14,97.86288796
"129","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",74.2263748,67.8004914,68.843,65.523,67.152,350.0716467,11.45053532,52856,54590,107446,77.601,84.05564485,150.347,NA,79.17329761
"130","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.228397,62.5701164,75.531,67.017,71.267,230.7698223,10.28395895,1846586,1709811,3556397,57.504,74.88150027,4932.115,9,87.95435513
