"","Country","beer_servings","spirit_servings","wine_servings","total_litres_of_pure_alcohol"
"126","Nigeria",42,5,2,0.85828
"128","North Korea",0,0,0,0
"129","Norway",169,71,129,6.48266
"130","Oman",22,16,1,0.68424
"131","Pakistan",0,0,0,0
"132","Palau",306,63,23,6.86952
"133","Panama",285,104,18,7.13542
"134","Papua New Guinea",44,39,1,1.47404
"135","Paraguay",213,117,74,7.09206
"136","Peru",163,160,21,6.03894
"137","Philippines",71,186,1,4.53374
"138","Poland",343,215,56,10.77434
"139","Portugal",194,67,339,10.55416
"140","Qatar",1,42,7,0.88018
"141","Romania",297,122,167,10.29058
"142","Russian Federation",247,326,73,11.34782
"143","Rwanda",43,2,0,0.7877
"144","Samoa",105,18,24,2.57766
"145","San Marino",0,0,0,0
"146","Sao Tome and Principe",56,38,140,4.1184
"147","Saudi Arabia",0,5,0,0.088
"148","Senegal",9,1,7,0.29858
"149","Serbia",283,131,127,9.49838
"150","Seychelles",157,25,51,4.08714
"151","Sierra Leone",25,3,2,0.52558
"152","Singapore",60,12,11,1.45524
"153","Slovakia",196,293,116,10.63304
"154","Slovenia",270,51,276,10.49124
"155","Solomon Islands",56,11,1,1.19124
"156","Somalia",0,0,0,0
"157","South Africa",225,76,81,6.70394
"158","South Korea",140,16,9,2.89036
"159","Spain",284,157,112,9.70888
"160","Sri Lanka",16,104,0,2.1104
"161","Saint Kitts and Nevis",194,205,32,7.56748
"162","Saint Lucia",171,315,71,9.78894
"163","Saint Vincent and the Grenadines",120,221,11,6.18364
"164","Sudan",8,13,0,0.3688
"165","Suriname",128,178,7,5.49628
"166","Swaziland",90,2,2,1.64548
"167","Sweden",152,60,186,6.99704
"168","Switzerland",185,100,280,9.9367
"169","Syrian Arab Republic",5,35,16,0.98574
"170","Tajikistan",2,15,0,0.299
"171","Tanzania",36,6,1,0.75324
"172","Thailand",99,258,1,6.29094
"173","Timor Leste",1,1,4,0.10566
"174","Togo",36,2,19,1.00036
"175","Tonga",36,21,5,1.0878
"176","Trinidad and Tobago",197,156,7,6.31658
"177","Tunisia",51,3,20,1.2981
"178","Turkey",51,22,7,1.40318
"179","Turkmenistan",19,71,32,2.14658
"180","Tuvalu",6,41,9,0.98536
"181","Uganda",45,9,0,0.9459
"182","Ukraine",206,237,45,8.57
"183","United Arab Emirates",16,135,5,2.7442
"184","United Kingdom",219,126,195,9.4899
"185","Uruguay",115,35,220,6.5093
"186","United States",249,158,84,8.62006
"187","Uzbekistan",25,101,8,2.35622
"188","Vanuatu",21,18,11,0.87834
"189","Venezuela",333,100,3,7.64042
"190","Viet Nam",111,2,1,1.99534
"191","Yemen",6,0,0,0.105
"192","Zambia",32,19,4,0.96496
"193","Zimbabwe",64,18,4,1.50736
