country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Liberia,19,152,2,3.04298
Libya,0,0,0,0
Lithuania,343,244,56,11.28474
Luxembourg,236,133,271,11.25124
The former Yugoslav republic of Macedonia,107,27,86,3.86474
Madagascar,26,15,4,0.78956
Malawi,8,11,1,0.35124
Malaysia,13,4,0,0.2979
Maldives,0,0,0,0
Mali,5,1,1,0.12274
Malta,149,100,120,6.4843
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,98,31,18,2.57812
Mexico,238,68,5,5.45
Micronesia (Federated States of),62,50,18,2.28252
Republic of Moldova,109,226,18,6.20262
Monaco,0,0,0,0
Mongolia,77,189,8,4.81502
Montenegro,31,114,128,4.80682
Morocco,12,6,10,0.492
Mozambique,47,18,5,1.2275
Myanmar,5,1,0,0.1051
Namibia,376,3,1,6.65044
Nauru,49,0,8,0.99862
Nepal,5,6,0,0.1931
Netherlands,251,88,190,9.2929
New Zealand,203,79,175,8.0299
Nicaragua,78,118,1,3.45944
Niger,3,2,1,0.10534
Nigeria,42,5,2,0.85828
Niue,188,200,7,6.93348
Democratic People's Republic of Korea,0,0,0,0
Norway,169,71,129,6.48266
Oman,22,16,1,0.68424
Pakistan,0,0,0,0
Palau,306,63,23,6.86952
Panama,285,104,18,7.13542
Papua New Guinea,44,39,1,1.47404
Paraguay,213,117,74,7.09206
Peru,163,160,21,6.03894
Philippines,71,186,1,4.53374
Poland,343,215,56,10.77434
Portugal,194,67,339,10.55416
Qatar,1,42,7,0.88018
Romania,297,122,167,10.29058
Russian Federation,247,326,73,11.34782
Rwanda,43,2,0,0.7877
Samoa,105,18,24,2.57766
San Marino,0,0,0,0
Sao Tome and Principe,56,38,140,4.1184
Saudi Arabia,0,5,0,0.088
Senegal,9,1,7,0.29858
Serbia,283,131,127,9.49838
Seychelles,157,25,51,4.08714
Sierra Leone,25,3,2,0.52558
Singapore,60,12,11,1.45524
Slovakia,196,293,116,10.63304
Slovenia,270,51,276,10.49124
Solomon Islands,56,11,1,1.19124
Somalia,0,0,0,0
South Africa,225,76,81,6.70394
Republic of Korea,140,16,9,2.89036
Spain,284,157,112,9.70888
Sri Lanka,16,104,0,2.1104
Saint Kitts and Nevis,194,205,32,7.56748
Saint Lucia,171,315,71,9.78894
Saint Vincent and the Grenadines,120,221,11,6.18364
Sudan,8,13,0,0.3688
Suriname,128,178,7,5.49628
Swaziland,90,2,2,1.64548
Sweden,152,60,186,6.99704
Switzerland,185,100,280,9.9367
Syrian Arab Republic,5,35,16,0.98574
Tajikistan,2,15,0,0.299
United Republic of Tanzania,36,6,1,0.75324
Thailand,99,258,1,6.29094
Timor_Leste,1,1,4,0.10566
Togo,36,2,19,1.00036
Tonga,36,21,5,1.0878
Trinidad and Tobago,197,156,7,6.31658
Tunisia,51,3,20,1.2981
Turkey,51,22,7,1.40318
Turkmenistan,19,71,32,2.14658
Tuvalu,6,41,9,0.98536
Uganda,45,9,0,0.9459
Ukraine,206,237,45,8.57
United Arab Emirates,16,135,5,2.7442
United Kingdom of Great Britain and Northern Ireland,219,126,195,9.4899
Uruguay,115,35,220,6.5093
United States of America,249,158,84,8.62006
Uzbekistan,25,101,8,2.35622
Vanuatu,21,18,11,0.87834
Venezuela (Bolivarian Republic of),333,100,3,7.64042
Viet Nam,111,2,1,1.99534
Yemen,6,0,0,0.105
Zambia,32,19,4,0.96496
Zimbabwe,64,18,4,1.50736
